"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","2","1","13","0","0"
"Mathematics","","","0","0","20","0","0"
"addition","","","0","0","5","0","0"
"multiplication","","","0","0","5","0","0"
"division","","","0","0","5","0","0"
"subtraction","","","0","0","5","0","0"
"Mathematics","Simple operations","Subtraction","0","0","1","0","0"
"Mathematics","Simple operations","Addition","0","0","1","0","0"
"Geometry","Simple operations","Sinus","1","0","0","0","0"
"Geometry","Simple operations","Sinusoid","1","0","0","0","0"
"Geometry","Trigonometry","Sinus","1","0","0","0","0"
"Geometry","Trigonometry","Sinusoid","1","0","0","0","0"
"Mathematics","Simple operations","Sinus","1","0","0","0","0"
"Mathematics","Simple operations","Sinusoid","1","0","0","0","0"
"Mathematics","Trigonometry","Sinus","1","0","0","0","0"
"Mathematics","Trigonometry","Sinusoid","1","0","0","0","0"
